Kabul;capitals;Hauptstadt Afghanistans
Kairo;capitals; 
Tirana;capitals; 
Algier;capitals; 
Andorra la Vella;capitals; 
Luanda;capitals; 
St. Johns;capitals; 
Malabo;capitals; 
Buenos Aires;capitals; 
Jerewan;capitals; 
Baku;capitals; 
Addis Abeba;capitals; 
Canberra;capitals; 
Nassau;capitals; 
Manama;capitals; 
Dhaka;capitals; 
Bridgetown;capitals; 
Brüssel;capitals;
Belmopan;capitals; 
Porto Novo;capitals; 
Thimphu;capitals; 
Sucre;capitals; 
Sarajevo;capitals; 
Gaborone;capitals; 
Brasilia;capitals;
Bandar Seri Begawan;capitals; 
Sofia;capitals; 
Ouagadougou;capitals; 
Bujumbura;capitals; 
Santiago de Chile;capitals; 
Taipeh;capitals; 
Peking;capitals; 
Avarua;capitals; 
San Jose;capitals;
Kopenhagen;capitals; 
Berlin;capitals;Deutschland
Roseau;capitals; 
Santo Domingo;capitals; 
Quito;capitals; 
Yamoussoukro;capitals; 
San Salvador;capitals; 
Asmara;capitals; 
Tallinn;capitals; 
Suva;capitals; 
Helsinki;capitals;Finnland
Paris;capitals;Frankreich
Libreville;capitals; 
Banjul;capitals; 
Tiflis;capitals; 
Accra;capitals; 
St. Georges;capitals; 
Athen;capitals;Griechenland
Guatemala;capitals; 
Conakry;capitals; 
Bissau;capitals; 
Georgetown;capitals; 
Port-au-Prince;capitals; 
Tegucigalpa;capitals; 
Neu-Delhi;capitals; 
Jakarta;capitals; 
Bagdad;capitals; 
Teheran;capitals; 
Dublin;capitals; 
Reykjavik;capitals;
Jerusalem;capitals; 
Rom;capitals; 
Kingston;capitals; 
Tokio;capitals; 
Sanaa;capitals; 
Amman;capitals; 
Phnom Penh;capitals; 
Jaunde;capitals; 
Ottawa;capitals; 
Praia;capitals; 
Astana;capitals; 
Doha;capitals; 
Nairobi;capitals; 
Bischkek;capitals; 
South Tarawa;capitals; 
Bogota;capitals;
Moroni;capitals; 
Kinshasa;capitals; 
Brazzaville;capitals; 
Pjöngjang;capitals;
Seoul;capitals; 
Pristina;capitals;
Zagreb;capitals; 
Havanna;capitals; 
Kuwait-Stadt;capitals; 
Vientiane;capitals; 
Maseru;capitals; 
Riga;capitals; 
Beirut;capitals; 
Monrovia;capitals; 
Tripolis;capitals;Tunesien
Vaduz;capitals; 
Vilnius;capitals; 
Luxemburg;capitals; 
Antananarivo;capitals; 
Lilongwe;capitals; 
Kuala Lumpur;capitals; 
Male;capitals;
Bamako;capitals; 
Valletta;capitals; 
Rabat;capitals; 
Majuro;capitals; 
Nouakchott;capitals; 
Port Louis;capitals; 
Skopje;capitals; 
Mexiko;capitals; 
Palikir;capitals; 
Monaco;capitals; 
Ulaanbaatar;capitals; 
Podgorica;capitals; 
Maputo;capitals; 
Naypyidaw;capitals; 
Windhoek;capitals; 
Yaren;capitals; 
Kathmandu;capitals; 
Wellington;capitals; 
Managua;capitals; 
Amsterdam;capitals; 
Niamey;capitals; 
Abuja;capitals; 
Oslo;capitals; 
Maskat;capitals; 
Wien;capitals; 
Dili;capitals; 
Islamabad;capitals; 
Melekeok;capitals; 
Panama;capitals; 
Port Moresby;capitals; 
Asuncion;capitals;
Lima;capitals; 
Manila;capitals; 
Warschau;capitals; 
Lissabon;capitals; 
Kigali;capitals; 
Bukarest;capitals; 
Moskau;capitals; 
Honiara;capitals; 
Lusaka;capitals; 
Apia;capitals; 
San Marino;capitals; 
Sao Tome;capitals;
Riad;capitals; 
Stockholm;capitals; 
Bern;capitals; 
Dakar;capitals; 
Belgrad;capitals; 
Victoria;capitals; 
Freetown;capitals; 
Harare;capitals; 
Singapur;capitals; 
Bratislava;capitals; 
Ljubljana;capitals; 
Mogadischu;capitals; 
Madrid;capitals; 
Colombo;capitals; 
Basseterre;capitals; 
Castries;capitals; 
Kingstown;capitals; 
Pretoria ;capitals; 
Juba;capitals; 
Khartum;capitals; 
Paramaribo;capitals; 
Mbabane;capitals; 
Damaskus;capitals; 
Duschanbe;capitals; 
Dodoma;capitals; 
Bangkok;capitals; 
Lome;capitals;
Port of Spain;capitals; 
N Djamena;capitals;
Prag;capitals; 
Tunis;capitals; 
Ankara;capitals; 
Aschgabat;capitals; 
Funafuti;capitals; 
Kampala;capitals; 
Kiew;capitals; 
Budapest;capitals; 
Montevideo;capitals; 
Taschkent;capitals; 
Port Vila;capitals; 
Vatikanstadt;capitals; 
Caracas;capitals; 
Abu Dhabi;capitals; 
London;capitals; 
Washington D.C.;capitals; 
Hanoi;capitals; 
Minsk;capitals; 
El Aaiun;capitals;
Bangui;capitals; 
Nikosia;capitals; 
