Damage over Time;gaming
Heal over Time;gaming
Killsteal;gaming
Ego-Shooter;gaming
Area of Effect;gaming
Button Mashing;gaming
Camper;gaming
Noob;gaming
Aggro;gaming
Dungeon;gaming
Raid;gaming
Beta;gaming
Disconnect;gaming
Tank;gaming
Debuff;gaming
Buff;gaming
KI;gaming
Imbalanced;gaming
Loot;gaming
Frames per Second;gaming
Aimbot;gaming
Griefer;gaming
Fedex-Quest;gaming
Ganker;gaming
Role-Playing Game;gaming
Damage Dealer;gaming
Droppen;gaming
Endgame;gaming
Fanboy;gaming
Farming;gaming
Grind;gaming
Item;gaming
Hotfix;gaming
Overpowered;gaming
Nerf;gaming
Stunnen;gaming
Player vs Enviroment;gaming
PWNED;gaming
Experience Points;gaming
Cast;gaming
Beat them up;gaming
Deathmatch;gaming
Damage per Second;gaming
Easter Egg;gaming
Jump'n Run;gaming
Mob;gaming
MMOG;gaming
MMORPG;gaming
Pay-to-win;gaming
Respawn;gaming
Ragequit;gaming
God Mode;gaming
Cheater;gaming
DLC;gaming
Bug;gaming
Casual-Gamer;gaming
Wallhack;gaming
Adden;gaming
Bashen;gaming
Boon;gaming
MOBA;gaming
Cheese;gaming
Bot;gaming
Crafting;gaming
King of the Hill;gaming
Lucker;gaming
Feeden;gaming
Level;gaming
Glitch;gaming
Hitmarker;gaming
Hit'n Run;gaming
Real Life;gaming
Zergen;gaming
Kill-Death-Ratio;gaming
Leaven;gaming
Flamen;gaming
Pushen;gaming
Build;gaming
Non Player Character;gaming
Spawn;gaming
Player-Killer;gaming
Quest;gaming
Scouting;gaming
Player versus Player;gaming
Tower Defense;gaming
Leetspeak;gaming
Ingame;gaming
Combo;gaming
Life Points;gaming
Mana Points;gaming
Health Points;gaming
Actions per Minute;gaming
Casher;gaming
