Amberbaum;tree
Apfel;tree
Baumhasel;tree
Bergahorn;tree
Birne;tree
Blasenesche;tree
Blauglockenbaum;tree
Blumenesche;tree
Blumenhartriegel;tree
Blutpflaume;tree
Bruchweide ;tree
Buchsbaum ;tree
Burgenahorn ;tree
Butternuss ;tree
Elsbeere ;tree
Eschenahorn ;tree
Essigbaum ;tree
Esskastanie ;tree
Feldahorn ;tree
Felsenbirne ;tree
Flieder ;tree
Flügelnuss ;tree
Fächerahorn ;tree
Gemeine Esche ;tree
Geweihbaum ;tree
Ginkgobaum ;tree
Gleditschie ;tree
Goldregen ;tree
Götterbaum ;tree
Hainbuche ;tree
Haselnuss ;tree
Holunder ;tree
Hängebirke ;tree
Judasbaum ;tree
Kleeulme ;tree
Kolchischer Ahorn ;tree
Kornelkirsche ;tree
Kreuzdorn ;tree
Magnolie ;tree
Maulbeere ;tree
Mehlbeere ;tree
Mispel ;tree
Oelweide ;tree
Perlschnurbaum ;tree
Pfaffenhütchen ;tree
Pfirsich ;tree
Pflaume ;tree
Platane ;tree
Pyrenäeneiche ;tree
Robinie ;tree
Rosskastanie ;tree
Rotbuche ;tree
Roteiche ;tree
Roter Hartriegel ;tree
Salweide ;tree
Sanddorn ;tree
Schlehe ;tree
Schwarzerle ;tree
Schwarznuss ;tree
Schwarzpappel ;tree
Silberahorn ;tree
Silberlinde ;tree
Silberpappel ;tree
Silberweide ;tree
Sommerlinde ;tree
Speierling ;tree
Spitzahorn ;tree
Stechpalme ;tree
Stieleiche ;tree
Streifenahorn ;tree
Süßkirsche ;tree
Traubeneiche ;tree
Traubenkirsche ;tree
Trauerweide ;tree
Trompetenbaum ;tree
Tulpenbaum ;tree
Ulme ;tree
Vogelbeere ;tree
Walnuss ;tree
Weißdorn ;tree
Wintergrüne Eiche ;tree
Winterlinde ;tree
Zerreiche ;tree
Zitterpappel ;tree
Zürgelbaum;tree
